Ticker,Total Return,Total Return (EPS),Total Return (SPS),Total Return (FCFPS),Total Return (Composite)
DGICA,3.21,42.41,-12.59,97.22,42.35
DGII,14.32,35.93,10.5,80.69,42.37
DGX,4.68,12.58,1.12,92.84,35.51
DH,7.07,-78.73,-92.61,203.34,10.67
DHC,35.59,74.19,14.72,71.64,53.52
DHI,15.38,34.57,27.86,62.69,41.71
DHLGY,41.52,5.39,5.39,5.39,5.39
DHR,19.41,144.14,50.44,-104.94,29.88
DHT,48.27,61.82,-3.39,71.61,43.35
DHX,101.15,10.62,88.24,14.17,37.68
DIBS,105.13,21.41,-281.5,198.95,-20.38
DIN,30.11,60.05,57.83,55.59,57.82
DINO,32.03,-49.63,25.87,123.8,33.35
DIOD,13.12,31.86,-5.57,75.37,33.89
DIS,8.16,11.06,-17.68,107.23,33.54
DK,15.14,51.91,-10.33,103.38,48.32
DKILY,36.85,1.34,1.34,1.34,1.34
DKL,23.79,91.63,4.75,40.08,45.49
DKNG,15.99,180.4,-183.68,33.11,9.94
DKS,18.99,52.4,-7.15,64.57,36.61
DLAKY,-6.09,4.89,4.89,4.89,4.89
DLB,27.27,-7.79,37.13,76.51,35.28
DLHC,76.06,65.66,38.75,78.02,60.81
DLNG,7.07,30.02,66.94,71.19,56.05
DLO,-11.93,537.85,-169.79,-346.57,7.16
DLPN,287.6,110.87,-17.69,8,33.73
DLR,-0.64,9.98,-25.95,107.24,30.42
DLTH,6.67,73.94,-7052.77,52.26,-2308.86
DLTR,10.38,21.13,-15.88,105.39,36.88
DLX,33.2,26.44,82.5,16.28,41.74
DM,20.77,-79.04,176.63,-122.13,-8.18
DMAC,27.62,165.88,-84.65,17.49,32.91
DMRC,-1.11,74.5,-10.19,74.81,46.37
DNA,-17.78,-10.41,-357.77,457.1,29.64
DNB,8.81,64.14,34.64,61.98,53.59
DNLI,67.43,192.84,-654.94,72.2,-129.97
DNMR,5.97,66.23,-149.25,98.84,5.27
DNN,91.96,-19.69,83.63,40.16,34.70
DNOW,5.06,-34.13,14.23,94.47,24.86
DNTH,99.45,0.63,110.78,-139.51,-9.37
DNUT,34.43,17.57,-37.15,99.18,26.53
DOC,21.77,13,99.5,100.07,70.86
DOCN,2.85,2169.58,43.7,101.69,771.66
DOCS,7.01,7.01,7.01,7.01,7.01
DOCU,-19.2,52.33,-86.39,166.01,43.98
DOLE,22.98,-0.21,-28.61,122.21,31.13
DOMO,-17.27,299.94,-276.04,-61.48,-12.53
DOOO,100.33,31.06,-6.04,77.71,34.24
DORM,2.92,89.24,-6.44,15.6,32.80
DOUG,6.12,19.66,65.13,94.99,59.93
DOV,6.52,128.71,32.34,-59.63,33.81
DOW,32.82,-1.91,-3.19,118.92,37.94
DOX,16.78,-49.86,23.22,131.39,34.92
DOYU,333.8,16.56,86.47,98.2,67.08
DPRO,138.07,67.3,-135.17,754.3,228.81
DPZ,5.15,82.24,57.76,-36.78,34.41
DQ,15.47,-9.17,-230.43,305.37,21.92
DRCT,414.71,414.71,414.71,414.71,414.71
DRD,38.42,2.24,2.24,2.24,2.24
DRH,3.95,-49.33,1.63,106.71,19.67
DRI,11.89,-7.19,72.8,49.15,38.25
DRIO,366.73,1.61,4.61,83.1,29.77
DRMA,387.8,387.8,387.8,387.8,387.80
DRS,6.02,6.02,6.02,6.02,6.02
DRTS,182.39,182.39,182.39,182.39,182.39
DRVN,6.7,-117.17,-47.24,126.82,-12.53
DSDVY,28.4,0.47,0.47,0.47,0.47
DSGN,-16.53,386.82,-303.74,89.22,57.43
DSGR,8.97,35.47,20.69,92.21,49.46
DSGX,-2.6,-24.54,59.92,54.86,30.08
DSP,-7.98,-45.68,52.05,99.19,35.19
DSX,123.71,47.17,92.35,110.12,83.21
DT,9.99,-4.56,-3.41,102.93,31.65
DTC,72.41,-239.78,-70.75,175.04,-45.16
DTE,14.7,54.2,44.86,48.09,49.05
DTEGY,-1.77,2.56,2.56,2.56,2.56
DTI,54.06,44.15,-72.53,117.65,29.76
DTIL,415.3,114.53,-51.53,51.87,38.29
DTM,-8.56,54.97,6.99,47.9,36.62
DTST,92.31,-112.01,114.83,120.5,41.11
DUK,11.09,62.89,0.26,60.17,41.11
DUOL,-2.9,-51.62,48.2,57.37,17.98
DUOT,58.73,-105.85,59.86,143.56,32.52
DV,7.11,-100.5,-79.85,254.52,24.72
DVA,-1.84,39.86,-46.75,102.76,31.96
DVAX,95.47,44.1,47.08,33.1,41.43
DVN,36.91,29.75,-30.4,103.61,34.32
DWTX,357.26,357.26,357.26,357.26,357.26
DX,21.81,365.57,111.3,27.76,168.21
DXC,-0.72,94.45,15.62,90.74,66.94
DXCM,13.71,39.26,-45.85,107.1,33.50
DXLG,20.97,306.88,328.86,109.69,248.48
DXPE,1.79,39.19,25.98,72.11,45.76
DXR,147.62,147.62,147.62,147.62,147.62
DY,14.01,47.78,26.35,54.93,43.02
DYAI,341.18,105.88,-29.65,35.54,37.26
DYN,77.49,77.49,77.49,77.49,77.49
E,25.86,7.49,7.49,7.49,7.49
EA,-3.24,10.16,43.13,56.12,36.47
EADSY,11.88,1.21,1.21,1.21,1.21
EAF,-6.98,16.63,26.21,62.2,35.01
EARN,22.51,-17.27,86.9,75.79,48.47
EAT,-16.33,56.55,34.49,14.63,35.22
EB,29.87,85.9,145.62,31.64,87.72
EBAY,0.45,3.53,57.61,46.18,35.77
EBC,7.73,-12.51,39.06,109.4,45.32
EBF,26.69,28.61,19.69,79.09,42.46
EBKDY,26.95,5.25,5.25,5.25,5.25
EBMT,4.01,26,5.68,82.19,37.96
EBR,68.9,1.37,1.37,1.37,1.37
EBS,29.17,71.25,42.08,100.35,71.23
EC,56.34,40.28,40.28,40.28,40.28
ECC,44.6,18.12,18.12,18.12,18.12
ECG,-1.48,-1.48,-1.48,-1.48,-1.48
ECL,13.34,74.87,44.92,-16.26,34.51
ECO,107.85,15.46,15.46,15.46,15.46
ECOR,139.28,118.82,-28.85,3.4,31.12
ECPG,30.31,14.3,-18.54,105.31,33.69
ECVT,21.21,58.04,-37.86,108.08,42.75
ECX,78.95,142.72,31.44,-86.11,29.35
ED,5.9,109.95,13.97,-7.93,38.66
EDAP,224.54,22.77,-66.03,120.38,25.71
EDBL,199.58,199.58,199.58,199.58,199.58
EDIT,304.04,67.68,-25.53,69.35,37.17
EDN,-16.94,-16.94,-16.94,-16.94,-16.94
EDNMY,40.27,3.6,3.6,3.6,3.60
EDR,-8.93,-116.87,3.18,100.92,-4.26
EDRY,123.72,-11.64,11.95,99.98,33.43
EDU,33.15,28.72,-32.84,103.43,33.10
EE,-13.19,0.8,0.8,0.8,0.80
EEFT,20.89,29.3,-31.92,110.05,35.81
EEX,59.85,-95.81,2.33,104.67,3.73
EFC,26.52,12.61,12.61,12.61,12.61
EFSC,5.22,1.87,1.87,1.87,1.87
EFX,16.4,0.6,0.6,0.6,0.60
EFXT,13.88,1.35,1.35,1.35,1.35
EG,12.28,13.13,-53.85,143.63,34.30
EGAN,77.57,-29.14,146.84,-58,19.90
EGBN,-12.19,54.46,4.06,53.63,37.38
EGHT,-2.28,14.12,125.76,96.62,78.83
EGO,23.23,23.23,23.23,23.23,23.23
EGP,19.02,83.55,10.13,20.81,38.16
EGY,94.47,6.95,6.17,104.16,39.09
EHAB,3.13,3.13,3.13,3.13,3.13
EHC,13.87,32.94,-15.59,100.96,39.44
EHTH,23.46,228.12,43.74,104.98,125.61
EIG,7.76,31.04,-4.26,79.42,35.40
EIX,11.03,8.28,26.14,93.71,42.71
EL,-1.36,64.89,-3.99,48.14,36.35
ELA,18.87,40.47,41.34,88.52,56.78
ELAN,45.27,-29.82,-42.03,116.37,14.84
ELBM,289.9,289.9,289.9,289.9,289.90
ELDN,110.08,-6.26,105.93,110.08,69.92
ELF,22.44,64.83,-17.76,108.94,52.00
ELMD,9.6,36.76,12.32,58.62,35.90
ELME,12.97,-0.74,18.2,100.07,39.18
ELP,49.47,2.41,2.41,2.41,2.41
ELS,7.4,75.21,-37.21,37.21,25.07
ELTK,70.18,-103.9,67.79,95.45,19.78
ELTX,90,82.13,108.61,-174.26,5.49
ELUT,110.53,-2.4,42.5,66.5,35.53
ELUXY,59.02,59.02,59.02,59.02,59.02
ELV,29.02,15.83,1.17,87.91,34.97
ELVA,77.3,77.3,77.3,77.3,77.30
ELVN,58.83,58.83,58.83,58.83,58.83
EMBC,2.06,4.16,4.16,4.16,4.16
EME,9.6,70.06,44.68,-14.15,33.53
EMKR,4.73,-29.43,59.64,61.38,30.53
EMN,16.77,37.66,30.69,47.67,38.67
EMR,3.53,104.19,16.82,-12.17,36.28
EMX,464.87,41.46,60.22,98.65,66.78
ENB,45.24,6.02,6.02,6.02,6.02
ENFN,-4.29,-790.43,698.96,297.46,68.66
ENGN,259.28,259.28,259.28,259.28,259.28
ENLC,-0.14,-679.63,6.85,109.54,-187.75
ENLT,22.4,22.4,22.4,22.4,22.40
ENOV,31.55,-7.67,22.79,92.13,35.75
ENPH,31.72,-46.66,113.47,36.96,34.59
ENR,1.65,38.32,27.28,76.75,47.45
ENS,25.36,55.17,9.26,44.72,36.38
ENSG,17.17,19.08,27.96,65.15,37.40
ENTA,94.06,5963.52,-363.99,122.03,1907.19
ENTG,20.55,15.29,-41.57,117.84,30.52
ENVA,2.22,22.6,63.2,21.05,35.62
ENVX,102.22,4.74,83.37,-4.47,27.88
EOG,12.99,-11.19,-10.06,115.73,31.49
EOLS,90.84,18.79,32.35,72.62,41.25
EONR,455.35,455.35,455.35,455.35,455.35
EOSE,36.52,287.17,-47.91,-425.08,-61.94
EPAC,22.39,21.78,-6.75,94.91,36.65
EPAM,5.61,240.31,-55.77,-93.74,30.27
EPC,8.7,-52.86,34.04,99.32,26.83
EPD,9.81,96.07,-23.81,42.21,38.16
EPIX,69.14,69.14,69.14,69.14,69.14
EPM,38.62,55.68,170.05,-252.63,-8.97
EPOKY,-12.2,1.93,1.93,1.93,1.93
EPR,18.71,10.35,38.32,101.47,50.05
EPRT,13.91,-5.17,45.01,111.03,50.29
EPSN,29.55,-32.06,189.25,108.11,88.43
EQ,315.69,14.09,16.75,51.6,27.48
EQBK,3.83,13.29,2.95,95.81,37.35
EQC,1.64,52.99,-15.61,76.82,38.07
EQH,13.47,-121.27,-23.13,124.34,-6.69
EQIX,3.99,16.98,34.36,91.41,47.58
EQNR,20.58,-10.99,16.13,111.74,38.96
EQR,8.95,34.87,-0.69,92.29,42.16
EQT,4.07,103.91,58.53,89.48,83.97
EQX,15.73,-95.29,45,58.98,2.90
ERAS,79.15,79.15,79.15,79.15,79.15
ERIC,-14.52,51.97,-128.71,89.18,4.15
ERII,22.62,4.71,27.8,93.68,42.06
ERO,37.17,37.17,37.17,37.17,37.17
ES,21.93,78.25,51.42,23.12,50.93
ESAB,3.58,0.25,0.25,0.25,0.25
ESE,2.58,-6.79,19.46,87.33,33.33
ESEA,57.22,26.09,51.62,70.38,49.36
ESI,15.94,70,58.49,55.15,61.21
ESLOY,3.03,1.77,1.77,1.77,1.77
ESLT,1.73,-16.26,-48.09,123.78,19.81
ESNT,19.79,-57.59,-19.81,179.76,34.12
ESPR,100,-113.71,159.25,73.59,39.71
ESQ,-4.9,28.06,25.94,48.88,34.29
ESRT,2.86,76.27,-71.9,52.05,18.81
ESS,5.55,11.91,38.9,92.69,47.83
ESTA,37.29,-96.08,-46.83,224.78,27.29
ESTC,15.11,-41.46,-208.89,149,-33.78
ET,10.48,5.73,6.08,107.29,39.70
ETD,8.81,21.41,21.16,78.33,40.30
ETN,1.75,132.33,46.1,-86.54,30.63
ETNB,237.92,237.92,237.92,237.92,237.92
ETON,26.9,94.22,25.57,64.35,61.38
ETR,2.25,24.7,26.92,82.61,44.74
ETSY,3.09,34.58,142.54,-50.09,42.34
ETWO,23.02,23.02,23.02,23.02,23.02
EU,144.57,144.57,144.57,144.57,144.57
EUDA,39.21,39.21,39.21,39.21,39.21
EVBN,7.01,71.84,28.25,22.16,40.75
EVCM,7.88,18.38,-33.53,120.15,35.00
EVER,61.29,15.63,90.25,91.1,65.66
EVEX,36.82,36.82,36.82,36.82,36.82
EVGN,434.54,76.51,-185.56,93.42,-5.21
EVGO,25.2,115.53,37.81,-68.78,28.19
EVH,100.68,235.04,42.44,102.75,126.74
EVLV,-0.7,139.23,130.69,-197.81,24.04
EVO,28.95,28.95,28.95,28.95,28.95
EVOK,327.55,327.55,327.55,327.55,327.55
EVR,-5.88,6.36,-37.84,125.58,31.37
EVRG,6.97,103.81,-27.69,7.26,27.79
EVRI,5.87,116.04,26.56,89.29,77.30
EVTC,2.03,6.15,28.27,71,35.14
EVTL,36.53,-144.94,139.82,137.65,44.18
EW,8.97,56.09,3.4,42.1,33.86
EWBC,2.03,28.57,26.64,57.79,37.67
EWCZ,27.05,-98.27,-107.16,233.98,9.52
EWTX,40.8,40.8,40.8,40.8,40.80
EXAS,15.59,-10.21,61.35,79.32,43.49
EXC,16.7,69.79,-26.48,43.79,29.03
EXE,9.51,281.78,54.32,65.26,133.79
EXEL,-4.99,458.81,79.17,101.92,213.30
EXFY,-12.54,-86.48,-90.27,173.58,-1.06
EXK,45.35,45.35,45.35,45.35,45.35
EXLS,2.24,76.93,5.73,18.27,33.64
EXP,5.09,30.75,-25.01,93.54,33.09
EXPD,-2.17,-66.27,-10.92,177.07,33.29
EXPE,0.71,-60.27,10.85,97.48,16.02
EXPGY,21.61,1.26,1.26,1.26,1.26
EXPI,14.73,-11.59,300.64,-1773.57,-494.84
EXPO,19.42,187.02,7.9,-102.4,30.84
EXR,8.93,57.2,8.2,53.83,39.74
EXROF,436.19,436.19,436.19,436.19,436.19
EXTR,18.7,-198.45,-169.14,151.73,-71.95
EYE,14.64,31.11,14.07,77.21,40.80
EYPT,258.64,191.65,26.41,88.88,102.31
EZPW,19.33,40.59,41.85,34.98,39.14
F,7.12,77.35,3.77,101.55,60.89
FA,5.58,-28.87,22.34,104.82,32.76
FAF,7.94,-15.56,44.38,82.15,36.99
FANG,27.6,9.1,125.32,104.7,79.71
FANUY,37.5,2.08,2.08,2.08,2.08
FARM,151.2,324.89,-43.95,113.79,131.58
FARO,2.04,147.89,-27.46,102.2,74.21
FAST,-8.75,116,14.33,-20.15,36.73
FAT,186.89,8.68,186.74,-69.01,42.14
FATE,90.11,317.53,-318.52,43.51,14.17
FBIN,16.84,34.29,12.8,61.76,36.28
FBIZ,8.31,57.72,-9.02,53.32,34.01
FBK,-3.86,54.76,-12.33,56.66,33.03
FBLG,361.54,361.54,361.54,361.54,361.54
FBMS,-1.74,79.72,19,20.67,39.80
FBNC,4.82,46.61,8.97,58.73,38.10
FBP,17.56,60.87,38.28,73.96,57.70
FBRT,27.75,-132.22,46.39,79.36,-2.16
FBRX,345.83,122.19,-40.73,39.83,40.43
FC,35.54,59.18,53.06,64.43,58.89
FCBC,9.54,28.51,11.99,79.21,39.90
FCCO,5.46,46.87,11.58,89.43,49.29
FCEL,148.82,-203.29,255.17,10.35,20.74
FCF,1.69,17.8,-11.7,96.67,34.26
FCFS,29.96,90.24,-21.4,36.79,35.21
FCN,18.98,57.82,-17.47,55.87,32.07
FCNCA,2.17,6.01,17.53,86.47,36.67
FCPT,5.5,12.66,1.55,100.49,38.23
FCUUF,365.83,365.83,365.83,365.83,365.83
FCX,26.85,39.53,14.18,93.19,48.97
FDMT,464.97,125.65,-92.98,68.63,33.77
FDP,16.1,30.93,4.47,86.3,40.57
FDS,-2.35,4.65,108.96,-11.11,34.17
FDUS,10.72,11.57,11.57,11.57,11.57
FDX,13.58,38.41,-11.33,75.83,34.30
FE,20.03,17.61,-70.09,107,18.17
FEAM,177.78,177.78,177.78,177.78,177.78
FELE,-2.89,91.92,15.27,-0.75,35.48
FENC,108.67,30.12,71.51,108.67,70.10
FER,5.84,1.97,1.97,1.97,1.97
FERG,5.55,57.58,30.12,31.76,39.82
FFBC,0.37,-6.62,5.38,111.5,36.75
FFIC,-2.43,81.27,17.31,20.45,39.68
FFIN,-1.56,175.67,6.08,-79.51,34.08
FFIV,-4.43,23.62,16.1,61.7,33.81
FFNW,5.44,11.38,-20.42,105.11,32.02
FFWM,-3.83,32.5,25.28,69.51,42.43
FG,1.93,1.8,1.8,1.8,1.80
FGBI,-21.52,70.04,-11.82,44.2,34.14
FGEN,46.27,19.36,-50.5,104.03,24.30
FGI,214.47,20.19,-39.93,88.96,23.07
FHB,-3.81,124.88,14.59,-21.04,39.48
FHI,2.99,47.8,57.21,5.68,36.90
FHN,-0.12,36.94,-8.67,82.63,36.97
FHTX,123.1,138.61,12434.94,-96.82,4158.91
FI,6.09,14.28,102.43,-15.92,33.60
FIBK,-1.34,85.53,10.82,24.85,40.40
FICO,-3.38,120.88,51.53,-83.69,29.57
FIGS,5.97,-601,13.45,146.35,-147.07
FIHL,5.71,1.96,1.96,1.96,1.96
FINW,4.4,-43.62,-45.92,144.21,18.22
FIP,41.72,1.37,1.37,1.37,1.37
FIS,11.97,-22.91,98.88,22.35,32.77
FISI,10.22,-10.93,10.11,113.46,37.55
FITB,7.25,77.72,2.35,35.4,38.49
FIVE,-4.55,24.89,24.19,63.17,37.42
FIVN,20.6,17.56,-12.11,98.28,34.58
FIX,5.99,54.66,62.6,-16.99,33.42
FIZZ,-9.13,130.62,-8.39,-27.27,31.65
FL,11.71,31.61,25.94,62.55,40.03
FLEX,9.9,20.96,2.84,98.96,40.92
FLG,1.85,-27.1,22.72,118.06,37.89
FLGC,135.29,-96.84,180.71,-81.03,0.95
FLGT,38.11,56.18,-85.46,135.06,35.26
FLIC,8.19,89.56,24.26,11.28,41.70
FLL,32.74,-225.63,75.65,95.81,-18.06
FLNC,41.84,-123.51,105.16,125.29,35.65
FLNT,50.03,-63.02,108.07,51.16,32.07
FLO,8.55,19.45,-3.63,97.78,37.87
FLR,7.86,27.36,18.33,85.59,43.76
FLS,6.99,29.12,17,64.38,36.83
FLUX,304.62,170.57,-160.06,176.87,62.46
FLWS,38.71,42.38,-5.55,88.98,41.94
FLXS,-5.51,35.99,-16.89,84.27,34.46
FLYW,14.54,89.08,95.62,24.34,69.68
FMAO,-2.51,133.7,-4.57,-24.68,34.82
FMBH,16.62,53.1,18.03,37.19,36.11
FMC,21.5,20.43,15.26,85.18,40.29
FMNB,13.61,45.32,-2.84,68.22,36.90
FMS,-3.02,2.82,2.82,2.82,2.82
FMST,384.17,384.17,384.17,384.17,384.17
FMX,39.18,4.7,4.7,4.7,4.70
FN,18.96,46.89,35.29,24.47,35.55
FNA,31.96,-84.84,118.69,62.5,32.12
FNB,7.64,46.03,-7.57,67.11,35.19
FND,-7.47,37.84,98.94,63.28,66.69
FNF,11.45,35.17,40.22,52.78,42.72
FNKO,9.82,242.05,10.59,101.7,118.11
FNV,19.45,1.19,1.19,1.19,1.19
FNWB,1.54,34.01,-14.57,101.27,40.24
FNWD,15.97,105.21,-2.32,-0.95,33.98
FOA,-6.89,-6.89,-6.89,-6.89,-6.89
FOLD,78.75,79.4,2.9,79.94,54.08
FOR,32.95,39.31,40.72,60.48,46.84
FORM,22.41,97.92,-59.1,103.47,47.43
FORR,19.76,26.91,38.22,48.38,37.84
FOUR,4.25,65.77,-104.22,98.48,20.01
FOXA,-2.84,25.53,36,44.19,35.24
FOXF,23.81,85.49,12.65,12.41,36.85
FPAY,69.27,-47.4,146.47,-20.16,26.30
FPI,1.9,75.46,41.5,85.95,67.64
FQVLF,8.7,8.7,8.7,8.7,8.70
FR,16.51,123.03,50.91,73.61,82.52
FRBA,14.93,1.6,1.6,1.6,1.60
FRFHF,6.57,1.05,1.05,1.05,1.05
FRGE,185,576.66,-806.4,41.97,-62.59
FRME,5.6,94.59,15.21,56.93,55.58
FROG,17,-43.68,-6.42,129.76,26.55
FRPT,8.63,-50.56,24.96,84.96,19.79
FRSH,15.77,53.54,0.63,79.26,44.48
FRST,25.38,13.3,5.13,95.66,38.03
FRT,13.8,35.17,-4.4,76.57,35.78
FSBC,9.07,35.34,24.43,47.47,35.75
FSBW,8.9,36.01,5.74,66.61,36.12
FSFG,3.3,140.44,56.07,-67.1,43.14
FSI,40.66,-54.87,-83.11,136.4,-0.53
FSK,8.28,12.74,12.74,12.74,12.74
FSLR,33.25,63.94,83.92,60.2,69.35
FSLY,-17.47,-17.11,39.17,83.35,35.14
FSM,35.81,35.81,35.81,35.81,35.81
FSNUY,26.4,26.4,26.4,26.4,26.40
FSP,13.22,52.72,15.93,74.38,47.68
FSRL,30.77,30.77,30.77,30.77,30.77
FSS,-2.9,46.9,32.73,36.17,38.60
FSTR,1.87,73.22,14.19,91.91,59.77
FSUN,10.76,10.76,10.76,10.76,10.76
FSV,6.85,11.21,13.66,88.4,37.76
FTAI,3.06,-72.97,-98.96,170.93,-0.33
FTCI,131.48,-70.02,-2.44,149.47,25.67
FTDR,-2.43,-105.61,187.45,15.22,32.35
FTEK,288.35,104.76,-21.05,104.94,62.88
FTHM,58.45,-480.71,-73.8,395.57,-52.98
FTI,5.34,-97.27,53.14,104.61,20.16
FTK,-8.99,55.31,17.82,95.85,56.33
FTLF,21.29,21.29,21.29,21.29,21.29
FTNT,2.32,24.68,58.4,18.26,33.78
FTRE,15.85,15.85,15.85,15.85,15.85
FTS,2.14,3.91,3.91,3.91,3.91
FTV,13.05,24.99,80.49,-1.72,34.59
FUBO,47.93,-104.33,285.88,-193.83,-4.09
FUFU,64.48,64.48,64.48,64.48,64.48
FUJHY,28.97,4.26,4.26,4.26,4.26
FUJIY,17.08,1.43,1.43,1.43,1.43
FUL,18.61,26.95,-2.66,79.21,34.50
FULC,6.1,-300.87,329.4,48.22,25.58
FULT,0.42,45.58,-2.71,65.62,36.16
FUN,20.04,22.05,-35.15,110.39,32.43
FUPBY,2.64,2.67,2.67,2.67,2.67
FVCB,1.45,-24.25,7.74,117.51,33.67
FVR,16.87,4.51,4.51,4.51,4.51
FVRR,4.47,-19.67,-142.73,177.33,4.98
FWRD,-1.29,68.63,15.98,89.62,58.08
FWRG,28.76,34.73,-9.99,91.86,38.87
FXNC,5.81,38.17,24.15,74.56,45.63
FYBR,11.69,11.69,11.69,11.69,11.69
G,6.47,-39.71,22.03,119.51,33.94
GABC,9.48,57.35,7.25,45.38,36.66
GAIA,26.69,-105.45,97.49,90.52,27.52
GAIN,7.93,6.98,6.98,6.98,6.98
GALT,323.08,203.76,-83.7,323.08,147.71
GAMB,17.3,16.28,36.04,69.28,40.53
GAME,252.44,-78.22,35.04,151.61,36.14
GAN,7.65,-76.51,130.31,-22.56,10.41
GANX,404.73,-102.31,161.68,55.29,38.22
GAP,19.04,48.82,9.69,65.53,41.35
GASS,84.5,41.7,20.99,68.44,43.71
GATO,-2.94,-2.94,-2.94,-2.94,-2.94
GATX,-1.32,43,31.93,37.28,37.40
GAU,228.57,14.63,27.64,91.35,44.54
GAUZ,100.24,100.24,100.24,100.24,100.24
GB,18.23,18.23,18.23,18.23,18.23
GBCI,-5.22,77.52,-1.21,28.21,34.84
GBDC,15.82,67.56,13.74,66.21,49.17
GBIO,447.45,-37.78,171.89,-134.34,-0.08
GBLI,54.52,36.8,8.36,92.21,45.79
GBTG,1.38,122.62,-112.64,111.19,40.39
GBX,-6.63,39.77,23.83,75.44,46.35
GCI,6.32,58.05,71.13,34.52,54.57
GCMG,3.89,36.65,41.88,40.4,39.64
GCO,-26.89,38.43,-9.34,89.09,39.39
GCT,134.55,134.55,134.55,134.55,134.55
GCTS,211.28,-258.53,-303.28,588.58,8.92
GD,21.36,52.57,3.23,51.68,35.83
GDDY,-6.74,1.47,110.15,-11.53,33.36
GDEN,10.77,36.49,5.41,95.91,45.94
GDEV,204.35,-34.11,95.22,19.06,26.72
GDOT,16.73,41.17,44.8,27.84,37.94
GDRX,42.28,64.45,214.26,-163.7,38.34
GDTC,117.5,117.5,117.5,117.5,117.50
GDYN,3.77,2.97,-103.65,179.06,26.13
GE,16.82,54.35,-44.98,99.81,36.39
GECC,14.42,13.46,13.46,13.46,13.46
GEF,16.07,26.75,-5.57,88.17,36.45
GEHC,17.65,0.17,0.17,0.17,0.17
GEL,24.39,107.52,-259.21,96.81,-18.29
GEN,-1.1,65.46,35.42,73.84,58.24
GENI,15,55.41,-84.83,127.83,32.80
GENK,55.53,55.53,55.53,55.53,55.53
GEO,11.32,74.7,-34.28,36.94,25.79
GERN,89.87,73.37,-19.68,59.85,37.85
GES,5.3,57.16,25.06,52.4,44.87
GETY,86.44,-47.32,84.92,21.48,19.69
GEV,3.04,3.04,3.04,3.04,3.04
GEVO,119.59,237.5,-235.79,24.7,8.80
GFAI,251.56,-101.95,-93.17,274.72,26.53
GFF,21.61,55.4,61.39,59.58,58.79
GFI,26.47,2.33,2.33,2.33,2.33
GFL,50.78,0.12,0.12,0.12,0.12
GFS,7.55,-15.54,-31.84,117.63,23.42
GGG,-6.58,77.12,39.91,-11.27,35.25
GGR,121.31,26.62,-71.56,132.72,29.26
GH,17.38,50.82,-102.22,151.98,33.53
GHC,-26.91,32.5,7.14,72.44,37.36
GHI,63.75,15.11,13.65,112.4,47.05
GHLD,22.04,-102.36,46.96,160.62,35.07
GHM,10.22,29.86,8.85,81.59,40.10
GHRS,298.34,298.34,298.34,298.34,298.34
GIB,34.55,0.38,0.38,0.38,0.38
GIC,47.43,78.03,39.57,32.49,50.03
GIFI,12.83,63.25,-62.69,94.38,31.65
GIII,7.05,31.18,-11.69,84.57,34.69
GIL,10.44,1.64,1.64,1.64,1.64
GILD,8.16,39.07,-19.55,96.63,38.72
GILT,33,-2007.59,-18.88,173.38,-617.70
GIS,15.29,41.77,17.54,52.45,37.25
GKOS,8.09,48.3,-31.16,74.76,30.63
GL,17.78,24.81,58.73,20.16,34.57
GLAD,-4.56,-23.62,42.89,144.84,54.70
GLBE,10.58,-20.08,-39.63,133.03,24.44
GLBS,185.71,35.24,105.87,97.78,79.63
GLDD,20.29,74.32,135.94,80.76,97.01
GLNCY,31.74,2.71,2.71,2.71,2.71
GLNG,13.85,61.66,69.78,73.62,68.35
GLOB,7.46,-34.6,-29.29,152.8,29.64
GLP,0.21,17.67,23.82,97.74,46.41
GLPG,1.91,92.81,99.31,70.49,87.54
GLPI,17.49,36.13,21.32,77.18,44.88
GLSI,169.69,169.69,169.69,169.69,169.69
GLTO,73.61,73.61,73.61,73.61,73.61
GLUE,52.13,52.13,52.13,52.13,52.13
GLW,12.01,33.02,-13.76,103.31,40.86
GLYC,222.68,272.85,-194.34,51.07,43.19
GM,8.96,19.35,6.34,81.79,35.83
GMAB,63.59,95.49,-21.3,22.86,32.35
GME,-63.56,-49.04,-1204.75,124.17,-376.54
GMED,8.11,21.57,43.49,39.74,34.93
GMRE,29.3,-187.62,194.75,259.04,88.72
GMS,-7.48,28.95,-5.73,79.38,34.20
GNFT,140.89,-252.08,-219.71,147.21,-108.19
GNK,63.96,-922.74,77.97,111.03,-244.58
GNL,52.88,1654.81,39.95,110.24,601.67
GNRC,-2.6,56.52,25.25,31.73,37.83
GNSS,25.66,31.18,60.97,91.72,61.29
GNTA,306.16,306.16,306.16,306.16,306.16
GNTX,17.8,36.98,-1.9,69.83,34.97
GNTY,5.98,64.81,4.67,39.55,36.34
GNW,-1.83,57.26,68.52,16.26,47.35
GO,-19.19,10.06,21.19,83.57,38.27
GOCO,66.67,-277.18,4.6,167.58,-35.00
GOGL,46.73,27.05,15.36,97.1,46.50
GOGO,72.18,-113.67,17.71,131.38,11.81
GOLD,30.09,216.04,1369.28,104.53,563.28
GOLF,2.72,69.08,18.72,28.67,38.82
GOOD,4.95,-51.3,40.14,95.46,28.10
GOOG,20.1,0.46,0.46,0.46,0.46
GOOGL,23.62,83.19,16.91,1.71,33.94
GOOS,4.41,105.36,24.67,-20.88,36.38
GP,71.96,-65.41,118.72,37.86,30.39
GPC,6.78,38.56,16.59,57.18,37.44
